Date and Time:                Fri May 23 19:15:03.033 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-3
285,25876	2
285,76248	4
286,26624	5
286,77002	3
287,2738	1
287,77762	6
288,28146	2
288,78531	-5
289,28922	4
289,79312	3
290,29706	-2
290,80103	4
291,30502	4
291,80902	4
292,31308	3
292,81714	5
293,32123	5
293,82532	12
294,32947	-1
294,83362	4
295,3378	0
295,84201	4
296,34625	-3
296,85049	-2
297,35477	2
297,85907	4
298,3634	0
298,86777	5
299,37213	2
299,87656	4
300,38098	3
300,88541	7
301,38989	-1
301,89441	5
302,39893	5
302,90347	-4
303,40805	4
303,91263	3
304,41727	1
304,92191	0
305,42657	6
305,93127	4
306,43597	6
306,94073	2
307,4455	3
307,95029	0
308,45511	4
308,95993	1
309,46481	7
309,9697	4
310,47461	5
310,97955	-9
311,4845	2
311,9895	3
312,49451	6
312,99954	0
313,50461	7
314,00967	1
314,5148	-4
315,01993	7
315,52509	-3
316,03027	4
316,53546	3
317,04071	3
317,54596	0
318,05124	3
318,55655	-1
319,06186	0
319,56723	5
320,0726	12
320,578	0
321,08344	-3
321,58887	0
322,09433	4
322,59985	5
323,10538	1
323,6109	10
324,11649	1
324,62207	4
325,12769	-3
325,63333	0
326,13901	7
326,64471	9
327,15042	1
327,65616	-1
328,16193	-2
328,66772	0
329,17352	9
329,67938	12
330,18524	8
330,69113	6
331,19702	5
331,70297	4
332,20892	-3
332,7149	3
333,22092	-5
333,72696	-2
334,233	8
334,73911	1
335,24521	6
335,75134	-4
336,25748	12
336,76367	12
337,26987	-1
337,77609	0
338,28235	-5
338,78864	-6
339,29492	1
339,80127	4
340,30762	-1
340,814	7
341,32037	3
341,82681	1
342,33325	1
342,83972	-3
343,34622	2
343,85275	2
344,35928	1
344,86584	-4
345,37247	3
345,87906	0
346,38571	0
346,89236	-2
347,39908	8
347,90579	-2
348,41254	0
348,91928	7
349,42609	-4
349,93289	-2
350,43973	7
350,94659	7
351,45349	4
351,96039	8
352,46732	0
352,97427	5
353,48126	2
353,98828	3
354,4953	7
355,00235	8
355,50943	9
356,01654	1
356,52368	9
357,03082	4
357,53799	3
358,0452	6
358,55243	3
359,05969	5
359,56696	14
360,07428	8
360,5816	0
361,08893	5
361,59631	3
362,1037	5
362,61115	8
363,11859	-2
363,62604	9
364,13354	2
364,64105	7
365,14859	6
365,65616	11
366,16376	7
366,67139	-4
367,17902	1
367,68668	4
368,19437	4
368,70209	4
369,20984	5
369,71759	2
370,22537	4
370,73318	10
371,24103	9
371,7489	8
372,25677	17
372,76468	-4
373,27261	3
373,78058	7
374,28854	8
374,79657	8
375,3046	-5
375,81265	-6
376,32071	1
376,82883	7
377,33694	-2
377,84509	10
378,35327	7
378,86148	2
379,36972	10
379,87796	8
380,38623	-3
380,89453	0
381,40286	10
381,91119	8
382,41959	4
382,92798	6
383,4364	1
383,94482	4
384,45331	2
384,96179	2
385,47031	6
385,97885	1
386,48743	8
386,996	14
387,50464	5
388,01328	5
388,52194	2
389,03061	15
389,53934	2
390,04807	14
390,55682	14
391,06561	5
391,57443	4
392,08325	4
392,59213	-3
393,10101	5
393,60989	5
394,11884	-2
394,62781	0
395,13678	9
395,64578	-1
396,15482	3
396,66385	8
397,17294	-1
397,68204	13
398,19116	0
398,70032	3
399,2095	0
399,71869	1
400,22791	4
400,73715	13
401,24643	7
401,75574	6
402,26505	5
402,77441	17
403,28378	5
403,79318	15
404,30258	8
404,81204	4
405,3215	12
405,83099	-2
406,34052	7
406,85004	8
407,35962	7
407,8692	6
408,37881	1
408,88846	13
409,3981	7
409,90781	5
410,41751	6
410,92725	10
411,43701	-2
411,94678	8
412,4566	-2
412,96643	11
413,47629	10
413,98618	7
414,49606	7
415,00601	12
415,51596	3
416,02594	12
416,53595	17
417,04596	6
417,55603	7
418,0661	10
418,5762	6
419,08633	4
419,59647	6
420,10663	14
420,61685	5
421,12708	16
421,6373	15
422,14758	16
422,65787	9
423,16818	12
423,67853	17
424,1889	19
424,69931	22
425,20972	7
425,72015	17
426,23062	13
426,74112	13
427,25162	15
427,76218	17
428,27274	19
428,78333	9
429,29395	24
429,80457	20
430,31522	15
430,82593	15
431,33661	11
431,84735	22
432,35812	15
432,8689	24
433,3797	24
433,89053	24
434,4014	27
434,91226	29
435,42319	35
435,93411	25
436,44507	32
436,95602	29
437,46704	24
437,97806	38
438,48911	27
439,00018	31
439,51129	34
440,0224	34
440,53357	13
441,04474	39
441,55594	11
442,06714	45
442,5784	38
443,08966	32
443,60095	53
444,11227	24
444,62363	48
445,13498	53
445,64636	32
446,15778	36
446,66922	42
447,18069	68
447,69217	55
448,2037	58
448,71524	30
449,22681	35
449,73837	61
450,25	63
450,76163	67
451,27328	20
451,78497	41
452,29666	60
452,80841	72
453,32016	76
453,83194	91
454,34375	91
454,85559	83
455,36743	92
455,8793	108
456,3912	76
456,90314	145
457,4151	102
457,92706	163
458,43906	168
458,95108	218
459,46313	198
459,97522	212
460,4873	266
460,99942	281
461,51157	287
462,02374	312
462,53595	340
463,04816	393
463,56039	427
464,07266	486
464,58496	593
465,09729	652
465,60962	761
466,12198	852
466,63437	1009
467,14679	1156
467,65924	1270
468,17169	1479
468,68417	1573
469,19669	1682
469,70923	1858
470,2218	2050
470,73438	2252
471,24698	2344
471,75961	2474
472,27228	2588
472,78494	2619
473,29767	2693
473,81039	2815
474,32315	2894
474,83594	2790
475,34872	2715
475,86157	2670
476,37442	2575
476,8873	2429
477,40018	2313
477,91312	2253
478,42606	2080
478,93903	1917
479,45203	1800
479,96506	1622
480,47812	1461
480,99118	1297
481,50427	1138
482,0174	1003
