Date and Time:                Fri May 23 20:50:42.302 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,07
Accumulate Cycle Time (secs): 0,07
Frequency (Hz):               14,286
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	184
285,25876	171
285,76248	171
286,26624	207
286,77002	206
287,2738	194
287,77762	195
288,28146	184
288,78531	190
289,28922	199
289,79312	200
290,29706	189
290,80103	192
291,30502	200
291,80902	210
292,31308	198
292,81714	205
293,32123	234
293,82532	189
294,32947	202
294,83362	200
295,3378	201
295,84201	207
296,34625	208
296,85049	202
297,35477	201
297,85907	221
298,3634	205
298,86777	202
299,37213	199
299,87656	202
300,38098	200
300,88541	219
301,38989	231
301,89441	220
302,39893	188
302,90347	219
303,40805	206
303,91263	209
304,41727	237
304,92191	212
305,42657	223
305,93127	232
306,43597	227
306,94073	229
307,4455	216
307,95029	233
308,45511	207
308,95993	219
309,46481	211
309,9697	225
310,47461	224
310,97955	219
311,4845	228
311,9895	229
312,49451	225
312,99954	234
313,50461	257
314,00967	234
314,5148	256
315,01993	252
315,52509	261
316,03027	256
316,53546	238
317,04071	241
317,54596	256
318,05124	228
318,55655	231
319,06186	241
319,56723	238
320,0726	273
320,578	243
321,08344	258
321,58887	257
322,09433	263
322,59985	272
323,10538	248
323,6109	259
324,11649	264
324,62207	264
325,12769	288
325,63333	266
326,13901	255
326,64471	272
327,15042	277
327,65616	286
328,16193	258
328,66772	288
329,17352	264
329,67938	299
330,18524	292
330,69113	284
331,19702	302
331,70297	281
332,20892	296
332,7149	284
333,22092	292
333,72696	284
334,233	298
334,73911	300
335,24521	312
335,75134	320
336,25748	299
336,76367	301
337,26987	298
337,77609	320
338,28235	305
338,78864	307
339,29492	307
339,80127	321
340,30762	305
340,814	317
341,32037	316
341,82681	309
342,33325	314
342,83972	312
343,34622	341
343,85275	312
344,35928	335
344,86584	318
345,37247	316
345,87906	323
346,38571	325
346,89236	336
347,39908	331
347,90579	331
348,41254	328
348,91928	340
349,42609	292
349,93289	354
350,43973	341
350,94659	353
351,45349	339
351,96039	345
352,46732	341
352,97427	339
353,48126	337
353,98828	337
354,4953	343
355,00235	328
355,50943	334
356,01654	340
356,52368	334
357,03082	367
357,53799	356
358,0452	357
358,55243	333
359,05969	352
359,56696	331
360,07428	372
360,5816	358
361,08893	342
361,59631	361
362,1037	368
362,61115	317
363,11859	354
363,62604	328
364,13354	344
364,64105	354
365,14859	349
365,65616	370
366,16376	359
366,67139	333
367,17902	321
367,68668	373
368,19437	348
368,70209	363
369,20984	336
369,71759	351
370,22537	340
370,73318	330
371,24103	347
371,7489	350
372,25677	352
372,76468	325
373,27261	347
373,78058	345
374,28854	329
374,79657	341
375,3046	330
375,81265	352
376,32071	345
376,82883	344
377,33694	354
377,84509	329
378,35327	320
378,86148	341
379,36972	341
379,87796	333
380,38623	344
380,89453	328
381,40286	364
381,91119	324
382,41959	332
382,92798	306
383,4364	347
383,94482	329
384,45331	297
384,96179	342
385,47031	310
385,97885	329
386,48743	318
386,996	331
387,50464	320
388,01328	313
388,52194	310
389,03061	320
389,53934	301
390,04807	304
390,55682	314
391,06561	309
391,57443	307
392,08325	313
392,59213	311
393,10101	309
393,60989	311
394,11884	296
394,62781	304
395,13678	304
395,64578	310
396,15482	291
396,66385	285
397,17294	286
397,68204	300
398,19116	293
398,70032	286
399,2095	284
399,71869	317
400,22791	276
400,73715	277
401,24643	278
401,75574	270
402,26505	278
402,77441	274
403,28378	269
403,79318	262
404,30258	259
404,81204	265
405,3215	270
405,83099	276
406,34052	264
406,85004	273
407,35962	245
407,8692	274
408,37881	268
408,88846	251
409,3981	255
409,90781	259
410,41751	249
410,92725	248
411,43701	248
411,94678	244
412,4566	272
412,96643	254
413,47629	256
413,98618	239
414,49606	244
415,00601	262
415,51596	243
416,02594	247
416,53595	244
417,04596	236
417,55603	230
418,0661	256
418,5762	225
419,08633	241
419,59647	221
420,10663	228
420,61685	226
421,12708	226
421,6373	245
422,14758	239
422,65787	238
423,16818	223
423,67853	255
424,1889	207
424,69931	244
425,20972	229
425,72015	230
426,23062	246
426,74112	231
427,25162	232
427,76218	224
428,27274	252
428,78333	234
429,29395	230
429,80457	247
430,31522	221
430,82593	229
431,33661	228
431,84735	232
432,35812	229
432,8689	239
433,3797	233
433,89053	208
434,4014	228
434,91226	217
435,42319	245
435,93411	213
436,44507	219
436,95602	212
437,46704	228
437,97806	217
438,48911	231
439,00018	228
439,51129	232
440,0224	212
440,53357	242
441,04474	223
441,55594	242
442,06714	222
442,5784	238
443,08966	224
443,60095	223
444,11227	224
444,62363	236
445,13498	232
445,64636	233
446,15778	233
446,66922	260
447,18069	246
447,69217	279
448,2037	253
448,71524	280
449,22681	267
449,73837	273
450,25	303
450,76163	318
451,27328	332
451,78497	366
452,29666	361
452,80841	406
453,32016	442
453,83194	468
454,34375	535
454,85559	559
455,36743	644
455,8793	708
456,3912	808
456,90314	892
457,4151	992
457,92706	1120
458,43906	1258
458,95108	1409
459,46313	1572
459,97522	1790
460,4873	1993
460,99942	2169
461,51157	2514
462,02374	2811
462,53595	3184
463,04816	3583
463,56039	4091
464,07266	4628
464,58496	5312
465,09729	6091
465,60962	6990
466,12198	7990
466,63437	9136
467,14679	10327
467,65924	11674
468,17169	13207
468,68417	14897
469,19669	16590
469,70923	18314
470,2218	19946
470,73438	21579
471,24698	23048
471,75961	24415
472,27228	25425
472,78494	26282
473,29767	27031
473,81039	27322
474,32315	27418
474,83594	27294
475,34872	26596
475,86157	25816
476,37442	25020
476,8873	23968
477,40018	22645
477,91312	21298
478,42606	19894
478,93903	18309
479,45203	16660
479,96506	14994
480,47812	13387
480,99118	11859
481,50427	10339
482,0174	8991
482,53055	7729
483,0437	6630
