Date and Time:                Thu May 22 13:34:45.335 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
472,27228	2278
472,78494	2392
473,29767	2493
473,81039	2517
474,32315	2580
474,83594	2564
475,34872	2552
475,86157	2498
476,37442	2446
476,8873	2434
477,40018	2292
477,91312	2216
478,42606	2077
478,93903	1894
479,45203	1766
479,96506	1605
480,47812	1456
480,99118	1275
481,50427	1144
482,0174	1025
482,53055	888
483,0437	791
483,55692	698
484,07013	584
484,58337	491
485,09662	420
485,60992	340
486,12323	292
486,63657	245
487,14993	211
487,66333	180
488,17673	128
488,69019	123
489,20364	109
489,71713	86
490,23062	71
490,74417	66
491,25772	42
491,7713	26
492,28491	61
492,79855	39
493,31219	33
493,82587	35
494,3396	28
494,8533	24
495,36707	23
495,88086	12
496,39465	20
496,90848	29
497,42233	20
497,93619	20
498,4501	14
498,96402	-6
499,47797	21
499,99194	21
500,50595	5
501,01996	15
501,534	24
502,04807	26
502,56216	13
503,07629	31
503,59042	-3
504,10461	32
504,6188	16
505,133	10
505,64725	7
506,1615	22
506,67581	30
507,19012	33
507,70447	25
508,21881	-9
508,73322	3
509,24762	8
509,76205	29
510,27652	8
510,79099	29
511,30551	-3
511,82004	19
512,33459	20
512,84918	30
513,36377	6
513,87842	17
514,39307	26
514,90771	20
515,42242	4
515,93719	20
516,4519	-6
516,96667	26
517,48151	9
517,99634	20
518,51117	38
519,02606	20
519,54095	17
520,05585	-8
520,5708	26
521,08582	4
521,60077	-6
522,11578	-10
522,63086	-39
523,14594	-9
523,66101	26
524,17615	-5
524,69128	-5
525,20642	31
525,72162	21
526,23682	9
526,75208	33
527,26733	27
527,78265	36
528,29791	-2
528,81329	7
529,32861	-19
529,84399	11
530,35944	6
530,87488	-14
531,39032	41
531,90582	-1
532,42133	22
532,93683	26
533,45239	33
533,96796	-11
534,48358	-4
534,99921	21
535,51489	32
536,03052	-17
536,54626	5
537,06195	16
537,5777	-11
538,09351	5
538,60931	21
539,12512	10
539,64099	17
540,15686	10
540,67273	95
541,18866	24
541,70459	9
542,22058	31
542,73657	-28
543,25256	15
543,76862	6
544,28467	3
544,80078	22
545,31689	41
545,83301	23
546,34918	51
546,86536	9
547,38159	40
547,89783	34
548,41412	1
548,93036	21
549,44672	5
549,96301	1
550,47937	-3
550,99579	16
551,51221	25
552,02863	2
552,54504	18
553,06152	-6
553,57806	5
554,0946	36
554,61115	17
555,12775	19
555,64435	-12
556,16095	30
556,67761	35
557,19427	1
557,711	3
558,22772	23
558,74445	23
559,26123	-2
559,77802	5
560,29486	15
560,81171	6
561,32855	18
561,84546	-39
562,36237	-6
562,87933	22
563,3963	17
563,91327	20
564,4303	18
564,94733	22
565,46442	13
565,98151	26
566,4986	-11
567,01575	15
567,5329	13
568,05011	3
568,56732	16
569,08453	20
569,60181	14
570,11908	21
570,63641	19
571,15375	19
571,67108	20
572,18848	9
572,70587	42
573,22333	21
573,74078	28
574,25824	42
574,77576	-8
575,29327	5
575,81079	6
576,32837	41
576,84601	47
577,36365	3
577,88129	29
578,39893	22
578,91663	31
579,43439	-2
579,95209	6
580,46991	18
580,98767	22
581,50549	45
582,02332	38
582,5412	15
583,05908	37
583,57703	34
584,09497	19
584,61292	37
585,13092	9
585,64893	49
586,16699	15
586,68506	33
587,20313	34
587,72125	61
588,23938	35
588,75757	49
589,27576	51
589,79395	18
590,31219	20
590,83044	53
591,34869	38
591,867	48
592,38538	43
592,90369	49
593,42206	49
593,94049	60
594,45892	124
594,97736	67
595,49585	54
596,01434	43
596,5329	55
597,05145	67
597,57001	38
598,08862	58
598,60724	53
599,12585	91
599,64453	84
600,16327	103
600,68195	72
601,20074	119
601,71948	66
602,23828	74
602,75708	136
603,27594	93
603,7948	84
604,31372	84
604,83264	92
605,35156	91
605,87054	67
606,38953	100
606,90851	105
607,42755	69
607,94666	88
608,4657	79
608,9848	73
609,50397	94
610,02313	66
610,5423	80
611,06152	91
611,58075	117
612,09998	95
612,61926	114
613,13861	54
613,6579	119
614,17725	118
614,69666	119
615,21606	98
615,73547	105
616,25494	100
616,77441	106
617,29388	77
617,81342	77
618,33301	126
618,85254	142
619,37213	98
619,89178	108
620,41144	76
620,93109	96
621,45081	87
621,97052	117
622,49023	82
623,01001	108
623,52985	87
624,04962	103
624,56946	108
625,08936	88
625,60925	58
626,12915	73
626,64911	96
627,16907	117
627,68903	78
628,20905	96
628,72906	76
629,24915	72
629,76923	46
630,28937	91
630,80945	78
631,32965	104
631,84979	94
632,37	88
632,89026	94
633,41052	82
633,93079	66
634,45111	65
634,97144	80
635,49176	71
636,01215	131
636,53253	66
637,05298	83
637,57343	67
638,09387	50
638,61438	84
639,13495	66
639,65546	77
640,17603	80
640,69666	85
641,21729	71
641,73792	95
642,25861	69
642,7793	89
643,29999	79
643,82074	94
644,34149	79
644,8623	89
645,38312	67
645,90393	95
646,4248	78
646,94568	90
647,46661	68
647,98755	70
648,50848	73
649,02948	46
649,55048	65
650,07153	64
650,59259	62
651,11371	78
651,63477	69
652,15594	34
652,67706	73
653,19824	66
653,71948	75
654,24072	42
654,76196	42
655,2832	86
655,8045	69
656,32587	75
656,84723	90
657,36859	37
657,89001	74
658,41144	69
658,93286	59
659,45435	54
659,97583	38
660,49738	73
661,01892	58
661,54047	62
662,06207	36
662,58368	87
663,10535	54
663,62701	57
664,14868	63
664,67041	41
665,19214	84
665,71393	58
666,23572	66
666,75751	48
667,27936	46
667,80121	25
668,32312	57
668,84503	25
669,36694	60
669,88892	68
670,41089	60
670,93292	49
671,45496	70
671,97699	60
672,49908	47
673,02118	47
673,54333	51
674,06549	43
674,58765	46
675,10986	54
675,63208	72
676,15436	44
676,67664	35
677,19891	34
677,72125	49
678,24359	66
678,76593	29
679,28833	52
679,81079	43
680,33325	54
680,85571	69
681,37817	55
681,9007	63
682,42328	51
682,9458	54
683,46844	50
683,99103	55
684,51367	53
685,03632	63
685,55902	54
686,08173	63
686,60449	59
687,12726	56
687,65002	73
688,17285	60
688,69568	64
689,21857	80
689,74146	55
690,26434	92
690,78729	93
691,31024	98
691,83325	106
692,35626	88
692,87927	99
693,40234	114
693,92542	127
694,44849	133
694,97162	136
695,49481	135
696,01794	150
696,54114	169
697,06439	153
697,58765	201
698,1109	187
698,63422	185
699,15753	210
699,68091	215
700,20428	239
700,72766	238
701,2511	236
701,77454	237
702,29797	263
702,82147	251
703,34503	255
703,86853	251
704,39215	249
704,91571	278
705,43933	250
705,96295	273
706,48663	280
707,01031	266
707,53406	265
708,0578	262
708,58154	257
709,10535	263
709,62915	258
710,15295	263
710,67682	253
711,20074	239
711,72461	218
712,24854	233
712,77252	226
713,29651	213
713,8205	204
714,34454	195
714,86859	189
715,39264	173
715,91675	173
716,44092	149
716,96503	140
717,4892	148
718,01343	150
718,53766	105
719,06189	107
719,58618	99
720,11047	101
720,63477	92
721,15912	85
721,68353	78
722,20789	73
722,7323	75
723,25677	56
723,78125	54
724,30573	51
724,83026	49
725,3548	36
725,87933	46
726,40393	39
726,92859	35
727,45319	39
727,97784	22
728,50256	29
729,02728	34
729,552	27
730,07678	28
730,60156	26
731,12634	16
731,65118	27
732,17603	22
732,70093	20
733,22583	27
733,75079	8
734,2757	29
734,80072	17
735,32568	9
735,85071	15
736,37579	15
736,90088	2
737,42596	12
737,95111	13
738,47626	4
739,0014	9
739,52661	13
740,05182	9
740,57709	12
741,10236	14
741,62769	5
742,15295	5
742,67834	11
743,20367	19
743,72906	19
744,25452	13
744,77997	5
745,30542	14
745,83093	16
746,35645	7
746,88196	19
747,40753	19
747,93311	15
748,45874	8
748,98438	6
749,51001	6
750,03571	4
750,5614	10
751,08716	13
751,61292	10
752,13867	12
752,66449	13
753,19037	11
753,71619	-4
754,24207	11
754,76801	9
755,29388	9
755,81989	17
756,34583	11
756,87183	13
757,39789	0
757,92395	2
758,45001	1
758,97607	2
759,5022	5
760,02838	13
760,55457	5
761,08075	2
761,60699	3
762,13324	14
762,65948	11
763,18579	11
763,7121	14
764,23846	1
764,76483	5
765,2912	12
765,81763	5
766,34406	14
766,87054	2
767,39703	4
767,92352	16
768,45007	11
768,97662	15
769,50323	5
770,02985	8
770,55646	6
771,08313	-2
771,6098	9
772,13654	5
772,66327	22
773,19	2
773,7168	-13
774,24359	16
774,77045	11
775,2973	5
775,82416	7
776,35107	-3
776,87799	6
777,40497	9
777,93195	8
778,45892	2
778,98596	10
779,513	14
780,0401	13
780,5672	16
781,0943	19
781,62146	-2
782,14862	2
782,67578	25
783,203	4
783,73029	5
784,25757	2
784,78485	13
785,31213	14
785,83948	16
786,36688	18
786,89423	16
787,42169	12
787,9491	12
788,47656	4
789,00409	5
789,53156	7
790,05908	24
790,58667	20
791,11426	42
791,64185	13
792,16949	23
792,69714	36
793,22485	34
793,75256	22
794,28027	43
794,80804	17
795,33582	46
795,86365	47
796,39148	23
796,91931	39
797,4472	44
797,9751	61
798,50299	42
799,03094	14
799,55896	29
800,08691	40
800,61499	30
801,14301	44
801,67108	81
802,19916	53
802,72729	56
803,25543	70
803,78363	52
804,31183	55
804,84003	66
805,36829	73
805,89655	54
806,4248	89
806,95313	64
807,48151	79
808,00983	94
808,53827	77
809,06665	65
809,59509	55
810,12354	64
810,65204	67
811,18054	59
811,70911	30
812,23767	72
812,76624	61
813,29486	70
813,82349	44
814,35211	79
814,8808	45
815,40955	43
815,93823	37
816,46698	67
816,99579	37
817,5246	35
818,05341	38
818,58228	36
819,11115	44
819,64001	45
820,16895	54
820,69794	34
821,22687	40
821,75586	40
822,28491	41
822,81396	45
823,34302	9
823,87213	51
824,40125	27
824,93036	10
825,45953	32
825,98877	-1
826,51794	16
827,04718	36
827,57648	19
828,10577	10
828,63507	17
829,16443	12
829,69379	12
830,22314	20
830,75256	0
831,28204	1
831,81146	21
832,34094	16
832,87048	9
833,40002	-5
833,92957	18
834,45917	7
834,98877	6
835,51837	14
836,04803	7
836,5777	4
837,10742	14
837,63715	7
838,16693	6
838,69666	14
839,2265	-2
839,75629	18
840,28613	-5
840,81604	1
841,34595	9
841,87585	-3
842,40582	5
842,93579	8
843,46576	0
843,99579	14
844,52582	5
845,05591	13
845,586	8
846,11615	6
846,64624	8
847,17645	13
847,7066	2
848,23682	3
848,76709	3
849,29736	5
849,82764	2
850,35797	3
850,88831	-1
851,41864	2
851,94904	6
852,47943	6
853,00989	-3
853,54034	3
854,0708	2
854,60132	7
855,13184	8
855,66241	2
856,19299	5
856,72357	-1
857,25421	11
857,78491	7
858,31555	3
858,84625	2
859,37701	12
859,90771	8
860,43854	8
860,9693	5
861,50012	8
862,03101	-3
862,56189	7
863,09277	-4
863,62366	5
864,15466	1
864,68561	11
865,21661	7
865,74762	1
866,27869	-3
866,80975	6
867,34082	12
867,87195	3
868,40308	7
868,93427	3
869,46545	-6
869,99664	3
870,52789	5
871,05914	1
871,59045	3
872,12177	2
872,65308	5
873,18445	-3
873,71582	8
874,24725	6
874,77869	8
875,31012	5
875,84161	-6
876,37311	6
876,90466	5
877,43622	11
877,96777	-1
878,49939	3
879,03101	7
879,56268	3
880,09436	11
880,62604	1
881,15778	8
881,68951	0
882,22131	12
882,75311	3
883,28491	3
883,81677	10
884,34863	10
884,88055	-2
885,41248	6
885,9444	4
886,47638	9
887,00836	8
887,54041	5
888,07239	5
888,60449	5
889,1366	1
889,6687	6
890,20081	0
890,73297	12
891,2652	4
891,79742	3
892,32965	8
892,86188	3
893,39417	13
893,92651	6
894,4588	3
894,99121	2
895,52356	6
896,05597	1
896,58838	0
897,12085	6
897,65332	-1
898,18585	1
898,71838	0
899,25092	5
899,78351	4
900,3161	9
900,84875	3
901,38141	-2
901,91406	5
902,44678	4
902,97949	6
903,51221	2
904,04498	0
904,57782	4
905,1106	11
905,64349	2
906,17633	11
906,70923	3
907,24213	4
907,77509	6
908,30804	4
908,84106	6
909,37408	3
909,9071	5
910,44019	5
910,97327	10
911,50641	7
912,03949	8
912,57269	6
913,1059	5
913,6391	3
914,1723	9
914,70557	9
915,23883	6
915,77216	7
916,30548	6
916,83887	4
917,37225	6
917,90564	14
918,43909	3
918,97253	1
919,50598	9
920,03949	1
920,57306	-1
921,10657	17
921,64014	11
922,17377	6
922,7074	14
923,24103	8
923,77472	8
924,30841	7
924,84216	1
925,37585	1
925,90967	15
926,44342	13
926,97729	14
927,51111	12
928,04498	15
928,57886	16
929,11279	6
929,64673	16
930,18073	17
930,71466	22
931,24872	22
931,78271	21
932,31683	19
932,85089	19
933,38501	14
933,91913	13
934,45331	24
934,98749	21
935,52167	23
936,05591	28
936,59021	29
937,12445	32
937,65875	26
938,19312	31
938,72748	39
939,26184	40
939,79626	33
940,33069	40
940,86511	38
941,3996	37
941,93408	46
942,46863	35
943,00317	42
943,53778	42
944,07239	47
944,60699	51
945,1416	45
945,67633	45
946,211	54
946,74573	50
947,28046	48
947,81525	49
948,35004	43
948,88483	53
949,41968	47
949,95453	47
950,48944	45
951,02435	48
951,55933	48
952,09424	44
952,62927	42
953,16425	43
953,69928	37
954,23438	42
954,76947	43
955,30457	33
955,83972	43
956,37488	32
956,91003	25
957,44525	25
957,98047	31
958,51575	25
959,05103	27
959,5863	31
960,12164	22
960,65698	22
961,19238	8
961,72778	32
962,26324	24
962,79865	22
963,33417	19
963,86963	18
964,40515	14
964,94073	21
965,47632	8
966,0119	15
966,54749	16
967,08313	-1
967,61884	21
968,15454	16
968,69025	8
969,22601	1
969,76178	4
970,29755	8
970,83337	10
971,3692	6
971,90509	3
972,44098	1
972,97687	2
973,51282	15
974,04877	5
974,58478	13
975,12079	5
975,6568	6
976,19287	5
976,72894	5
977,26508	0
977,80121	6
978,33734	8
978,87354	3
979,40973	9
979,94598	5
980,48224	3
981,01849	6
981,55481	4
982,09113	9
982,6275	1
983,16388	4
983,70026	11
984,23669	7
984,77313	6
985,30963	3
985,84613	4
986,38263	0
986,91919	-1
987,45575	2
987,99237	-1
988,52899	4
989,06561	10
989,60229	10
990,13898	3
990,67572	10
