Date and Time:                Thu May 22 18:17:55.984 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	1
285,25876	-1
285,76248	-1
286,26624	-2
286,77002	3
287,2738	-3
287,77762	-4
288,28146	-4
288,78531	0
289,28922	0
289,79312	-4
290,29706	0
290,80103	-1
291,30502	-2
291,80902	0
292,31308	4
292,81714	3
293,32123	-1
293,82532	-3
294,32947	-5
294,83362	0
295,3378	-3
295,84201	-2
296,34625	-1
296,85049	1
297,35477	1
297,85907	-1
298,3634	2
298,86777	-1
299,37213	2
299,87656	2
300,38098	-1
300,88541	3
301,38989	-5
301,89441	-4
302,39893	2
302,90347	-2
303,40805	4
303,91263	-1
304,41727	-6
304,92191	2
305,42657	-3
305,93127	1
306,43597	-3
306,94073	4
307,4455	1
307,95029	-7
308,45511	-1
308,95993	-4
309,46481	-4
309,9697	-1
310,47461	-5
310,97955	-4
311,4845	-7
311,9895	-2
312,49451	-3
312,99954	-4
313,50461	4
314,00967	0
314,5148	-1
315,01993	-3
315,52509	-3
316,03027	5
316,53546	-4
317,04071	4
317,54596	-4
318,05124	-1
318,55655	5
319,06186	1
319,56723	-5
320,0726	3
320,578	-1
321,08344	-6
321,58887	2
322,09433	1
322,59985	2
323,10538	0
323,6109	-4
324,11649	-5
324,62207	0
325,12769	-1
325,63333	4
326,13901	-3
326,64471	-5
327,15042	0
327,65616	4
328,16193	-2
328,66772	-10
329,17352	2
329,67938	1
330,18524	-3
330,69113	-2
331,19702	2
331,70297	2
332,20892	-1
332,7149	-2
333,22092	4
333,72696	3
334,233	-6
334,73911	1
335,24521	5
335,75134	7
336,25748	2
336,76367	-10
337,26987	-7
337,77609	-6
338,28235	1
338,78864	8
339,29492	-2
339,80127	-2
340,30762	4
340,814	-9
341,32037	6
341,82681	-7
342,33325	10
342,83972	-9
343,34622	9
343,85275	-2
344,35928	1
344,86584	-2
345,37247	2
345,87906	-2
346,38571	-2
346,89236	-2
347,39908	-7
347,90579	2
348,41254	-1
348,91928	-6
349,42609	5
349,93289	-2
350,43973	-8
350,94659	0
351,45349	5
351,96039	8
352,46732	0
352,97427	-3
353,48126	-2
353,98828	0
354,4953	0
355,00235	-3
355,50943	-1
356,01654	-7
356,52368	0
357,03082	2
357,53799	-6
358,0452	0
358,55243	-9
359,05969	-1
359,56696	-4
360,07428	-7
360,5816	-3
361,08893	3
361,59631	10
362,1037	3
362,61115	5
363,11859	4
363,62604	3
364,13354	1
364,64105	4
365,14859	3
365,65616	0
366,16376	0
366,67139	3
367,17902	-3
367,68668	-2
368,19437	8
368,70209	-3
369,20984	4
369,71759	-5
370,22537	0
370,73318	4
371,24103	5
371,7489	1
372,25677	-1
372,76468	1
373,27261	-2
373,78058	-2
374,28854	-4
374,79657	-2
375,3046	9
375,81265	-5
376,32071	5
376,82883	-6
377,33694	3
377,84509	-3
378,35327	-7
378,86148	3
379,36972	-2
379,87796	-2
380,38623	-1
380,89453	-3
381,40286	3
381,91119	4
382,41959	-5
382,92798	2
383,4364	-2
383,94482	1
384,45331	-5
384,96179	-10
385,47031	5
385,97885	-3
386,48743	4
386,996	-3
387,50464	5
388,01328	14
388,52194	2
389,03061	-2
389,53934	0
390,04807	8
390,55682	5
391,06561	-4
391,57443	-2
392,08325	-4
392,59213	-4
393,10101	-3
393,60989	7
394,11884	0
394,62781	-4
395,13678	4
395,64578	10
396,15482	-7
396,66385	7
397,17294	0
397,68204	2
398,19116	2
398,70032	2
399,2095	-6
399,71869	3
400,22791	-6
400,73715	3
401,24643	-3
401,75574	3
402,26505	-3
402,77441	-6
403,28378	0
403,79318	-5
404,30258	5
404,81204	0
405,3215	7
405,83099	4
406,34052	3
406,85004	-5
407,35962	4
407,8692	2
408,37881	0
408,88846	-2
409,3981	1
409,90781	5
410,41751	-5
410,92725	0
411,43701	3
411,94678	-10
412,4566	5
412,96643	2
413,47629	-1
413,98618	-7
414,49606	-2
415,00601	-6
415,51596	11
416,02594	0
416,53595	-8
417,04596	-2
417,55603	-1
418,0661	-4
418,5762	2
419,08633	-2
419,59647	1
420,10663	0
420,61685	-6
421,12708	-2
421,6373	3
422,14758	-3
422,65787	0
423,16818	-4
423,67853	5
424,1889	-1
424,69931	1
425,20972	0
425,72015	5
426,23062	-3
426,74112	2
427,25162	-1
427,76218	-3
428,27274	5
428,78333	7
429,29395	1
429,80457	-15
430,31522	-8
430,82593	0
431,33661	4
431,84735	1
432,35812	7
432,8689	-2
433,3797	6
433,89053	-7
434,4014	-9
434,91226	0
435,42319	-13
435,93411	1
436,44507	-2
436,95602	8
437,46704	-9
437,97806	18
438,48911	3
439,00018	9
439,51129	2
440,0224	19
440,53357	10
441,04474	9
441,55594	34
442,06714	8
442,5784	1
443,08966	-18
443,60095	0
444,11227	33
444,62363	-5
445,13498	6
445,64636	7
446,15778	26
446,66922	-10
447,18069	-8
447,69217	3
448,2037	52
448,71524	-1
449,22681	15
449,73837	13
450,25	-12
450,76163	16
451,27328	7
451,78497	-12
452,29666	47
452,80841	34
453,32016	59
453,83194	25
454,34375	25
454,85559	-8
455,36743	23
455,8793	0
456,3912	20
456,90314	41
457,4151	53
457,92706	31
458,43906	23
458,95108	50
459,46313	62
459,97522	30
460,4873	72
460,99942	57
461,51157	110
462,02374	109
462,53595	129
463,04816	166
463,56039	130
464,07266	198
464,58496	253
465,09729	287
465,60962	325
466,12198	355
466,63437	420
467,14679	488
467,65924	556
468,17169	609
468,68417	676
469,19669	760
469,70923	863
470,2218	923
470,73438	1011
471,24698	1056
471,75961	1160
472,27228	1227
472,78494	1271
473,29767	1300
473,81039	1366
474,32315	1393
474,83594	1364
