Date and Time:                Fri May 23 21:08:16.610 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,07
Accumulate Cycle Time (secs): 0,07
Frequency (Hz):               14,286
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	309
285,25876	334
285,76248	290
286,26624	301
286,77002	299
287,2738	316
287,77762	328
288,28146	312
288,78531	327
289,28922	309
289,79312	334
290,29706	324
290,80103	340
291,30502	329
291,80902	319
292,31308	329
292,81714	313
293,32123	345
293,82532	331
294,32947	346
294,83362	330
295,3378	321
295,84201	316
296,34625	347
296,85049	342
297,35477	326
297,85907	314
298,3634	344
298,86777	335
299,37213	317
299,87656	331
300,38098	327
300,88541	334
301,38989	336
301,89441	356
302,39893	341
302,90347	328
303,40805	341
303,91263	338
304,41727	331
304,92191	340
305,42657	329
305,93127	328
306,43597	349
306,94073	335
307,4455	343
307,95029	336
308,45511	346
308,95993	340
309,46481	349
309,9697	344
310,47461	348
310,97955	358
311,4845	349
311,9895	367
312,49451	358
312,99954	362
313,50461	372
314,00967	348
314,5148	370
315,01993	383
315,52509	366
316,03027	365
316,53546	367
317,04071	363
317,54596	367
318,05124	391
318,55655	366
319,06186	366
319,56723	356
320,0726	378
320,578	381
321,08344	375
321,58887	354
322,09433	390
322,59985	359
323,10538	377
323,6109	391
324,11649	394
324,62207	389
325,12769	391
325,63333	406
326,13901	403
326,64471	410
327,15042	426
327,65616	404
328,16193	415
328,66772	422
329,17352	418
329,67938	416
330,18524	412
330,69113	418
331,19702	434
331,70297	421
332,20892	418
332,7149	431
333,22092	427
333,72696	431
334,233	404
334,73911	421
335,24521	461
335,75134	442
336,25748	442
336,76367	436
337,26987	429
337,77609	444
338,28235	464
338,78864	436
339,29492	462
339,80127	457
340,30762	454
340,814	479
341,32037	463
341,82681	448
342,33325	470
342,83972	461
343,34622	482
343,85275	473
344,35928	503
344,86584	472
345,37247	470
345,87906	477
346,38571	480
346,89236	494
347,39908	481
347,90579	489
348,41254	490
348,91928	479
349,42609	466
349,93289	496
350,43973	482
350,94659	494
351,45349	505
351,96039	494
352,46732	495
352,97427	503
353,48126	492
353,98828	494
354,4953	496
355,00235	504
355,50943	496
356,01654	511
356,52368	509
357,03082	498
357,53799	522
358,0452	515
358,55243	539
359,05969	527
359,56696	504
360,07428	501
360,5816	524
361,08893	524
361,59631	511
362,1037	522
362,61115	509
363,11859	513
363,62604	511
364,13354	514
364,64105	494
365,14859	492
365,65616	525
366,16376	534
366,67139	529
367,17902	498
367,68668	511
368,19437	504
368,70209	515
369,20984	525
369,71759	521
370,22537	512
370,73318	492
371,24103	515
371,7489	510
372,25677	507
372,76468	493
373,27261	502
373,78058	518
374,28854	517
374,79657	502
375,3046	503
375,81265	509
376,32071	511
376,82883	521
377,33694	484
377,84509	501
378,35327	502
378,86148	507
379,36972	498
379,87796	504
380,38623	523
380,89453	490
381,40286	501
381,91119	510
382,41959	493
382,92798	500
383,4364	513
383,94482	470
384,45331	495
384,96179	493
385,47031	500
385,97885	502
386,48743	490
386,996	493
387,50464	496
388,01328	486
388,52194	493
389,03061	486
389,53934	482
390,04807	470
390,55682	497
391,06561	472
391,57443	490
392,08325	477
392,59213	478
393,10101	481
393,60989	458
394,11884	466
394,62781	466
395,13678	477
395,64578	464
396,15482	487
396,66385	471
397,17294	461
397,68204	464
398,19116	464
398,70032	462
399,2095	437
399,71869	444
400,22791	452
400,73715	430
401,24643	449
401,75574	419
402,26505	438
402,77441	420
403,28378	438
403,79318	429
404,30258	438
404,81204	415
405,3215	437
405,83099	412
406,34052	413
406,85004	406
407,35962	430
407,8692	408
408,37881	426
408,88846	395
409,3981	409
409,90781	401
410,41751	400
410,92725	403
411,43701	394
411,94678	403
412,4566	381
412,96643	379
413,47629	411
413,98618	405
414,49606	412
415,00601	390
415,51596	401
416,02594	403
416,53595	404
417,04596	405
417,55603	395
418,0661	371
418,5762	400
419,08633	363
419,59647	389
420,10663	373
420,61685	396
421,12708	383
421,6373	388
422,14758	382
422,65787	379
423,16818	374
423,67853	376
424,1889	386
424,69931	386
425,20972	362
425,72015	372
426,23062	393
426,74112	382
427,25162	366
427,76218	390
428,27274	373
428,78333	393
429,29395	383
429,80457	372
430,31522	369
430,82593	359
431,33661	387
431,84735	382
432,35812	380
432,8689	394
433,3797	385
433,89053	378
434,4014	368
434,91226	355
435,42319	373
435,93411	393
436,44507	373
436,95602	362
437,46704	372
437,97806	365
438,48911	368
439,00018	373
439,51129	389
440,0224	385
440,53357	377
441,04474	355
441,55594	359
442,06714	398
442,5784	373
443,08966	378
443,60095	367
444,11227	399
444,62363	395
445,13498	365
445,64636	399
446,15778	408
446,66922	407
447,18069	421
447,69217	417
448,2037	431
448,71524	471
449,22681	490
449,73837	512
450,25	522
450,76163	552
451,27328	596
451,78497	633
452,29666	707
452,80841	764
453,32016	857
453,83194	929
454,34375	1027
454,85559	1145
455,36743	1272
455,8793	1394
456,3912	1592
456,90314	1819
457,4151	2057
457,92706	2320
458,43906	2660
458,95108	3012
459,46313	3396
459,97522	3787
460,4873	4267
460,99942	4780
461,51157	5460
462,02374	6146
462,53595	6918
463,04816	7791
463,56039	8902
464,07266	10080
464,58496	11362
465,09729	12815
465,60962	14312
466,12198	16103
466,63437	17946
467,14679	20148
467,65924	22358
468,17169	24754
468,68417	27225
469,19669	29905
469,70923	32785
470,2218	35781
470,73438	38723
471,24698	41759
471,75961	44674
472,27228	47743
472,78494	50957
473,29767	53750
473,81039	55860
474,32315	57319
474,83594	57952
475,34872	57993
475,86157	56837
476,37442	55550
476,8873	54263
477,40018	52493
477,91312	50310
478,42606	47629
478,93903	44503
479,45203	41398
479,96506	37885
480,47812	34362
480,99118	30805
481,50427	27189
482,0174	23904
482,53055	20936
