Date and Time:                Fri May 23 20:37:11.967 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
478,42606	772
478,93903	783
479,45203	781
479,96506	797
480,47812	794
480,99118	737
481,50427	734
482,0174	701
482,53055	646
483,0437	628
483,55692	534
484,07013	525
484,58337	426
485,09662	418
485,60992	363
486,12323	332
486,63657	282
487,14993	252
487,66333	211
488,17673	189
488,69019	163
489,20364	108
489,71713	119
490,23062	111
490,74417	98
491,25772	58
491,7713	65
492,28491	39
492,79855	51
493,31219	43
493,82587	37
494,3396	12
494,8533	36
495,36707	9
495,88086	47
496,39465	16
496,90848	28
497,42233	18
497,93619	29
498,4501	23
498,96402	13
499,47797	24
499,99194	16
500,50595	10
501,01996	33
501,534	13
502,04807	37
502,56216	22
503,07629	15
503,59042	14
504,10461	39
504,6188	39
505,133	49
505,64725	39
506,1615	35
506,67581	55
507,19012	36
507,70447	10
508,21881	37
508,73322	23
509,24762	17
509,76205	24
510,27652	30
510,79099	28
511,30551	22
511,82004	26
512,33459	21
512,84918	8
513,36377	37
513,87842	41
514,39307	30
514,90771	36
515,42242	25
515,93719	36
516,4519	45
516,96667	43
517,48151	34
517,99634	28
518,51117	34
519,02606	17
519,54095	32
520,05585	24
520,5708	15
521,08582	58
521,60077	36
522,11578	34
522,63086	39
523,14594	30
523,66101	23
524,17615	26
524,69128	21
525,20642	18
525,72162	41
526,23682	27
526,75208	32
527,26733	58
527,78265	44
528,29791	15
528,81329	47
529,32861	29
529,84399	30
530,35944	13
530,87488	35
531,39032	32
531,90582	27
532,42133	40
532,93683	20
533,45239	7
533,96796	46
534,48358	30
534,99921	26
535,51489	12
536,03052	33
536,54626	12
537,06195	39
537,5777	33
538,09351	19
538,60931	8
539,12512	15
539,64099	23
540,15686	28
540,67273	19
541,18866	12
541,70459	31
542,22058	48
542,73657	24
543,25256	24
543,76862	-1
544,28467	45
544,80078	31
545,31689	24
545,83301	30
546,34918	27
546,86536	47
547,38159	11
547,89783	38
548,41412	27
548,93036	31
549,44672	32
549,96301	23
550,47937	23
550,99579	20
551,51221	27
552,02863	29
552,54504	29
553,06152	24
553,57806	35
554,0946	36
554,61115	46
555,12775	37
555,64435	37
556,16095	28
556,67761	23
557,19427	32
557,711	40
558,22772	35
558,74445	28
559,26123	26
559,77802	36
560,29486	21
560,81171	30
561,32855	43
561,84546	26
562,36237	31
562,87933	38
563,3963	33
563,91327	50
564,4303	29
564,94733	16
565,46442	18
565,98151	8
566,4986	55
567,01575	27
567,5329	51
568,05011	44
568,56732	23
569,08453	6
569,60181	37
570,11908	19
570,63641	37
571,15375	23
571,67108	22
572,18848	33
572,70587	23
573,22333	46
573,74078	41
574,25824	36
574,77576	55
575,29327	16
575,81079	9
576,32837	39
576,84601	30
577,36365	23
577,88129	24
578,39893	31
578,91663	25
579,43439	16
579,95209	29
580,46991	40
580,98767	32
581,50549	31
582,02332	19
582,5412	31
583,05908	31
583,57703	25
584,09497	12
584,61292	45
585,13092	27
585,64893	25
586,16699	23
586,68506	27
587,20313	27
587,72125	23
588,23938	36
588,75757	31
589,27576	27
589,79395	33
590,31219	26
590,83044	34
591,34869	51
591,867	35
592,38538	28
592,90369	48
593,42206	21
593,94049	35
594,45892	31
594,97736	40
595,49585	10
596,01434	-5
596,5329	41
597,05145	31
597,57001	28
598,08862	33
598,60724	39
599,12585	21
599,64453	28
600,16327	37
600,68195	30
601,20074	16
601,71948	43
602,23828	32
602,75708	41
603,27594	51
603,7948	44
604,31372	21
604,83264	45
605,35156	45
605,87054	34
606,38953	22
606,90851	44
607,42755	36
607,94666	27
608,4657	28
608,9848	29
609,50397	26
610,02313	35
610,5423	28
611,06152	31
611,58075	38
612,09998	34
612,61926	43
613,13861	27
613,6579	25
614,17725	35
614,69666	18
615,21606	34
615,73547	38
616,25494	24
616,77441	19
617,29388	29
617,81342	39
618,33301	25
618,85254	19
619,37213	42
619,89178	29
620,41144	43
620,93109	22
621,45081	41
621,97052	43
622,49023	31
623,01001	28
623,52985	36
624,04962	34
624,56946	26
625,08936	5
625,60925	32
626,12915	36
626,64911	32
627,16907	26
627,68903	39
628,20905	32
628,72906	27
629,24915	3
629,76923	43
630,28937	22
630,80945	29
631,32965	11
631,84979	26
632,37	24
632,89026	33
633,41052	28
633,93079	47
634,45111	27
634,97144	41
635,49176	29
636,01215	22
636,53253	30
637,05298	30
637,57343	22
638,09387	48
638,61438	27
639,13495	42
639,65546	21
640,17603	49
640,69666	35
641,21729	56
641,73792	42
642,25861	36
642,7793	50
643,29999	46
643,82074	30
644,34149	43
644,8623	57
645,38312	30
645,90393	47
646,4248	30
646,94568	36
647,46661	32
647,98755	43
648,50848	49
649,02948	37
649,55048	35
650,07153	48
650,59259	49
651,11371	29
651,63477	46
652,15594	52
652,67706	61
653,19824	35
653,71948	45
654,24072	57
654,76196	50
655,2832	60
655,8045	72
656,32587	56
656,84723	49
657,36859	56
657,89001	67
658,41144	65
658,93286	65
659,45435	46
