Date and Time:                Thu May 22 18:27:57.381 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	3
285,25876	-1
285,76248	-1
286,26624	-1
286,77002	3
287,2738	1
287,77762	-2
288,28146	-1
288,78531	-2
289,28922	-3
289,79312	-2
290,29706	-1
290,80103	-1
291,30502	1
291,80902	1
292,31308	-3
292,81714	-2
293,32123	-2
293,82532	-2
294,32947	4
294,83362	1
295,3378	-3
295,84201	2
296,34625	4
296,85049	0
297,35477	-1
297,85907	1
298,3634	8
298,86777	3
299,37213	6
299,87656	10
300,38098	-2
300,88541	9
301,38989	3
301,89441	1
302,39893	-1
302,90347	2
303,40805	8
303,91263	5
304,41727	0
304,92191	4
305,42657	9
305,93127	-5
306,43597	3
306,94073	-4
307,4455	-1
307,95029	0
308,45511	4
308,95993	5
309,46481	1
309,9697	-3
310,47461	1
310,97955	-1
311,4845	-1
311,9895	0
312,49451	3
312,99954	-1
313,50461	-4
314,00967	1
314,5148	4
315,01993	7
315,52509	3
316,03027	-1
316,53546	4
317,04071	2
317,54596	13
318,05124	4
318,55655	3
319,06186	0
319,56723	-1
320,0726	-3
320,578	1
321,08344	-6
321,58887	5
322,09433	3
322,59985	7
323,10538	5
323,6109	-1
324,11649	-1
324,62207	1
325,12769	3
325,63333	-4
326,13901	5
326,64471	-2
327,15042	-1
327,65616	6
328,16193	3
328,66772	6
329,17352	2
329,67938	-2
330,18524	4
330,69113	0
331,19702	-12
331,70297	5
332,20892	-6
332,7149	9
333,22092	-4
333,72696	-2
334,233	5
334,73911	4
335,24521	12
335,75134	11
336,25748	0
336,76367	0
337,26987	-3
337,77609	6
338,28235	1
338,78864	-2
339,29492	-1
339,80127	3
340,30762	0
340,814	-4
341,32037	0
341,82681	11
342,33325	3
342,83972	0
343,34622	2
343,85275	2
344,35928	-5
344,86584	4
345,37247	3
345,87906	7
346,38571	-2
346,89236	5
347,39908	0
347,90579	3
348,41254	9
348,91928	-5
349,42609	-1
349,93289	1
350,43973	5
350,94659	-1
351,45349	4
351,96039	-2
352,46732	-3
352,97427	-2
353,48126	-4
353,98828	8
354,4953	2
355,00235	-5
355,50943	3
356,01654	-6
356,52368	5
357,03082	-8
357,53799	-5
358,0452	0
358,55243	-1
359,05969	-6
359,56696	0
360,07428	2
360,5816	7
361,08893	-4
361,59631	-1
362,1037	-7
362,61115	-4
363,11859	-7
363,62604	1
364,13354	-1
364,64105	-1
365,14859	2
365,65616	-4
366,16376	-5
366,67139	3
367,17902	-1
367,68668	1
368,19437	12
368,70209	1
369,20984	-6
369,71759	-9
370,22537	7
370,73318	3
371,24103	-4
371,7489	3
372,25677	-4
372,76468	-7
373,27261	-2
373,78058	0
374,28854	2
374,79657	3
375,3046	4
375,81265	-5
376,32071	2
376,82883	-6
377,33694	-1
377,84509	6
378,35327	3
378,86148	4
379,36972	-2
379,87796	1
380,38623	0
380,89453	-3
381,40286	0
381,91119	0
382,41959	-7
382,92798	-5
383,4364	-4
383,94482	2
384,45331	0
384,96179	-1
385,47031	4
385,97885	-1
386,48743	-1
386,996	6
387,50464	6
388,01328	-2
388,52194	11
389,03061	0
389,53934	0
390,04807	14
390,55682	0
391,06561	-3
391,57443	-3
392,08325	-2
392,59213	-3
393,10101	3
393,60989	4
394,11884	-2
394,62781	-1
395,13678	-1
395,64578	5
396,15482	2
396,66385	4
397,17294	0
397,68204	-7
398,19116	-5
398,70032	5
399,2095	8
399,71869	5
400,22791	-4
400,73715	-1
401,24643	0
401,75574	4
402,26505	5
402,77441	-1
403,28378	-4
403,79318	-5
404,30258	5
404,81204	-3
405,3215	0
405,83099	8
406,34052	1
406,85004	3
407,35962	-2
407,8692	6
408,37881	10
408,88846	2
409,3981	3
409,90781	-4
410,41751	5
410,92725	4
411,43701	3
411,94678	4
412,4566	10
412,96643	0
413,47629	0
413,98618	-3
414,49606	-3
415,00601	0
415,51596	0
416,02594	2
416,53595	8
417,04596	0
417,55603	2
418,0661	4
418,5762	5
419,08633	0
419,59647	3
420,10663	-8
420,61685	-4
421,12708	-3
421,6373	2
422,14758	-2
422,65787	2
423,16818	-3
423,67853	11
424,1889	4
424,69931	7
425,20972	6
425,72015	2
426,23062	0
426,74112	1
427,25162	5
427,76218	-7
428,27274	8
428,78333	2
429,29395	2
429,80457	-5
430,31522	0
430,82593	13
431,33661	4
431,84735	12
432,35812	-1
432,8689	-4
433,3797	-7
433,89053	1
434,4014	6
434,91226	4
435,42319	4
435,93411	1
436,44507	2
436,95602	-6
437,46704	5
437,97806	11
438,48911	13
439,00018	19
439,51129	1
440,0224	0
440,53357	4
441,04474	-7
441,55594	5
442,06714	7
442,5784	-6
443,08966	4
443,60095	8
444,11227	-1
444,62363	34
445,13498	17
445,64636	27
446,15778	-9
446,66922	44
447,18069	20
447,69217	-2
448,2037	12
448,71524	19
449,22681	11
449,73837	10
450,25	26
450,76163	54
451,27328	-17
451,78497	19
452,29666	13
452,80841	4
453,32016	18
453,83194	9
454,34375	13
454,85559	40
455,36743	16
455,8793	6
456,3912	27
456,90314	9
457,4151	24
457,92706	17
458,43906	15
458,95108	30
459,46313	55
459,97522	29
460,4873	35
460,99942	46
461,51157	84
462,02374	43
462,53595	53
463,04816	114
463,56039	108
464,07266	90
464,58496	141
465,09729	152
465,60962	188
466,12198	245
466,63437	250
467,14679	318
467,65924	360
468,17169	422
468,68417	448
469,19669	512
469,70923	581
470,2218	621
470,73438	711
471,24698	790
471,75961	788
472,27228	810
472,78494	912
473,29767	909
473,81039	931
474,32315	952
474,83594	941
475,34872	919
475,86157	913
476,37442	899
476,8873	877
477,40018	830
477,91312	814
478,42606	719
