Date and Time:                Thu May 22 13:48:54.081 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	3
285,25876	2
285,76248	5
286,26624	-2
286,77002	-1
287,2738	-1
287,77762	4
288,28146	-2
288,78531	-4
289,28922	1
289,79312	4
290,29706	8
290,80103	2
291,30502	-3
291,80902	3
292,31308	-1
292,81714	4
293,32123	3
293,82532	-2
294,32947	6
294,83362	-4
295,3378	-2
295,84201	-3
296,34625	7
296,85049	5
297,35477	2
297,85907	3
298,3634	-1
298,86777	6
299,37213	0
299,87656	5
300,38098	2
300,88541	-6
301,38989	2
301,89441	5
302,39893	6
302,90347	3
303,40805	-1
303,91263	1
304,41727	4
304,92191	6
305,42657	0
305,93127	4
306,43597	1
306,94073	-2
307,4455	-5
307,95029	8
308,45511	2
308,95993	1
309,46481	-3
309,9697	2
310,47461	-3
310,97955	-2
311,4845	3
311,9895	3
312,49451	1
312,99954	-9
313,50461	11
314,00967	6
314,5148	-3
315,01993	-1
315,52509	10
316,03027	-1
316,53546	9
317,04071	3
317,54596	4
318,05124	2
318,55655	5
319,06186	0
319,56723	3
320,0726	4
320,578	9
321,08344	-6
321,58887	5
322,09433	3
322,59985	-7
323,10538	7
323,6109	-3
324,11649	3
324,62207	0
325,12769	3
325,63333	8
326,13901	5
326,64471	0
327,15042	3
327,65616	6
328,16193	-2
328,66772	7
329,17352	1
329,67938	3
330,18524	-2
330,69113	3
331,19702	9
331,70297	2
332,20892	8
332,7149	8
333,22092	-1
333,72696	3
334,233	9
334,73911	-1
335,24521	6
335,75134	2
336,25748	-6
336,76367	9
337,26987	-4
337,77609	-4
338,28235	10
338,78864	9
339,29492	8
339,80127	2
340,30762	3
340,814	15
341,32037	7
341,82681	1
342,33325	5
342,83972	3
343,34622	1
343,85275	8
344,35928	0
344,86584	4
345,37247	11
345,87906	-5
346,38571	4
346,89236	0
347,39908	3
347,90579	2
348,41254	5
348,91928	9
349,42609	9
349,93289	4
350,43973	4
350,94659	4
351,45349	5
351,96039	7
352,46732	8
352,97427	-6
353,48126	2
353,98828	-6
354,4953	-1
355,00235	5
355,50943	0
356,01654	0
356,52368	9
357,03082	7
357,53799	2
358,0452	-3
358,55243	12
359,05969	0
359,56696	0
360,07428	6
360,5816	-1
361,08893	-1
361,59631	4
362,1037	5
362,61115	-7
363,11859	6
363,62604	-5
364,13354	-7
364,64105	7
365,14859	-3
365,65616	1
366,16376	2
366,67139	1
367,17902	14
367,68668	-4
368,19437	4
368,70209	10
369,20984	0
369,71759	-12
370,22537	-6
370,73318	0
371,24103	6
371,7489	3
372,25677	-1
372,76468	10
373,27261	-2
373,78058	-3
374,28854	5
374,79657	4
375,3046	-3
375,81265	1
376,32071	-3
376,82883	4
377,33694	6
377,84509	4
378,35327	-1
378,86148	5
379,36972	5
379,87796	1
380,38623	1
380,89453	-6
381,40286	7
381,91119	3
382,41959	9
382,92798	3
383,4364	5
383,94482	7
384,45331	-6
384,96179	-4
385,47031	10
385,97885	1
386,48743	9
386,996	6
387,50464	11
388,01328	7
388,52194	1
389,03061	6
389,53934	4
390,04807	4
390,55682	6
391,06561	1
391,57443	8
392,08325	11
392,59213	-10
393,10101	-3
393,60989	3
394,11884	12
394,62781	9
395,13678	2
395,64578	4
396,15482	8
396,66385	-1
397,17294	1
397,68204	0
398,19116	-4
398,70032	-3
399,2095	-2
399,71869	1
400,22791	10
400,73715	2
401,24643	1
401,75574	6
402,26505	-6
402,77441	1
403,28378	8
403,79318	-1
404,30258	8
404,81204	-1
405,3215	3
405,83099	-3
406,34052	8
406,85004	6
407,35962	-3
407,8692	0
408,37881	-5
408,88846	-2
409,3981	6
409,90781	2
410,41751	1
410,92725	0
411,43701	2
411,94678	3
412,4566	3
412,96643	0
413,47629	-1
413,98618	10
414,49606	-1
415,00601	0
415,51596	-3
416,02594	-1
416,53595	4
417,04596	9
417,55603	3
418,0661	-5
418,5762	-4
419,08633	-1
419,59647	5
420,10663	2
420,61685	4
421,12708	0
421,6373	0
422,14758	-3
422,65787	-8
423,16818	-6
423,67853	-2
424,1889	-3
424,69931	-4
425,20972	1
425,72015	0
426,23062	-1
426,74112	2
427,25162	8
427,76218	-1
428,27274	-1
428,78333	6
429,29395	1
429,80457	-1
430,31522	-1
430,82593	-3
431,33661	1
431,84735	11
432,35812	-1
432,8689	13
433,3797	14
433,89053	-2
434,4014	-9
434,91226	3
435,42319	5
435,93411	1
436,44507	-3
436,95602	7
437,46704	-1
437,97806	9
438,48911	1
439,00018	16
439,51129	31
440,0224	0
440,53357	-9
441,04474	-7
441,55594	-2
442,06714	-2
442,5784	17
443,08966	27
443,60095	-7
444,11227	8
444,62363	-7
445,13498	-9
445,64636	-9
446,15778	-25
446,66922	-1
447,18069	-18
447,69217	-12
448,2037	6
448,71524	8
449,22681	-7
449,73837	0
450,25	-23
450,76163	-16
451,27328	-8
451,78497	-12
452,29666	30
452,80841	15
453,32016	3
453,83194	23
454,34375	30
454,85559	15
455,36743	41
455,8793	26
456,3912	41
456,90314	44
457,4151	67
457,92706	44
458,43906	42
458,95108	66
459,46313	96
459,97522	105
460,4873	123
460,99942	149
461,51157	192
462,02374	195
462,53595	212
463,04816	248
463,56039	296
464,07266	327
464,58496	407
465,09729	448
465,60962	530
466,12198	587
466,63437	684
467,14679	823
467,65924	948
468,17169	1060
468,68417	1186
469,19669	1339
469,70923	1493
470,2218	1620
470,73438	1741
471,24698	1908
471,75961	2015
472,27228	2186
472,78494	2247
473,29767	2321
473,81039	2442
474,32315	2432
474,83594	2434
475,34872	2435
475,86157	2398
476,37442	2383
476,8873	2276
477,40018	2263
477,91312	2159
