Date and Time:                Thu May 22 18:09:51.693 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-3
285,25876	0
285,76248	-6
286,26624	2
286,77002	1
287,2738	-4
287,77762	2
288,28146	-1
288,78531	5
289,28922	2
289,79312	2
290,29706	5
290,80103	-5
291,30502	-1
291,80902	3
292,31308	-1
292,81714	-3
293,32123	-1
293,82532	4
294,32947	0
294,83362	4
295,3378	-3
295,84201	-1
296,34625	0
296,85049	-1
297,35477	-4
297,85907	6
298,3634	2
298,86777	0
299,37213	-7
299,87656	0
300,38098	-4
300,88541	-2
301,38989	0
301,89441	-1
302,39893	1
302,90347	-3
303,40805	3
303,91263	-1
304,41727	2
304,92191	-1
305,42657	2
305,93127	-2
306,43597	1
306,94073	3
307,4455	8
307,95029	3
308,45511	-4
308,95993	1
309,46481	-3
309,9697	-4
310,47461	4
310,97955	0
311,4845	-2
311,9895	3
312,49451	3
312,99954	1
313,50461	4
314,00967	-2
314,5148	-3
315,01993	1
315,52509	4
316,03027	3
316,53546	1
317,04071	9
317,54596	2
318,05124	2
318,55655	-6
319,06186	6
319,56723	-1
320,0726	7
320,578	-9
321,08344	3
321,58887	-7
322,09433	4
322,59985	-1
323,10538	-4
323,6109	-6
324,11649	-1
324,62207	6
325,12769	1
325,63333	0
326,13901	-2
326,64471	-1
327,15042	2
327,65616	0
328,16193	10
328,66772	-3
329,17352	4
329,67938	2
330,18524	-5
330,69113	3
331,19702	-4
331,70297	-1
332,20892	10
332,7149	-3
333,22092	-1
333,72696	1
334,233	-1
334,73911	-2
335,24521	-3
335,75134	3
336,25748	2
336,76367	1
337,26987	-1
337,77609	-1
338,28235	1
338,78864	-3
339,29492	5
339,80127	-2
340,30762	3
340,814	3
341,32037	3
341,82681	-2
342,33325	0
342,83972	-4
343,34622	-4
343,85275	2
344,35928	2
344,86584	1
345,37247	3
345,87906	-1
346,38571	-1
346,89236	3
347,39908	7
347,90579	0
348,41254	6
348,91928	2
349,42609	-1
349,93289	-12
350,43973	10
350,94659	0
351,45349	3
351,96039	-2
352,46732	1
352,97427	-1
353,48126	-1
353,98828	-6
354,4953	-6
355,00235	-4
355,50943	-6
356,01654	2
356,52368	-2
357,03082	0
357,53799	-2
358,0452	-4
358,55243	-1
359,05969	1
359,56696	-2
360,07428	3
360,5816	-4
361,08893	5
361,59631	7
362,1037	5
362,61115	5
363,11859	-10
363,62604	2
364,13354	4
364,64105	2
365,14859	-9
365,65616	2
366,16376	-1
366,67139	-4
367,17902	9
367,68668	-4
368,19437	-4
368,70209	7
369,20984	-3
369,71759	4
370,22537	3
370,73318	2
371,24103	0
371,7489	2
372,25677	-5
372,76468	4
373,27261	-2
373,78058	-1
374,28854	3
374,79657	-2
375,3046	0
375,81265	1
376,32071	-3
376,82883	-3
377,33694	6
377,84509	2
378,35327	5
378,86148	-1
379,36972	10
379,87796	6
380,38623	5
380,89453	4
381,40286	6
381,91119	2
382,41959	4
382,92798	-2
383,4364	3
383,94482	1
384,45331	4
384,96179	-2
385,47031	5
385,97885	2
386,48743	3
386,996	-4
387,50464	6
388,01328	-2
388,52194	-1
389,03061	0
389,53934	7
390,04807	-3
390,55682	4
391,06561	-1
391,57443	0
392,08325	-1
392,59213	-3
393,10101	-1
393,60989	0
394,11884	0
394,62781	-3
395,13678	2
395,64578	2
396,15482	1
396,66385	-4
397,17294	-1
397,68204	5
398,19116	7
398,70032	-11
399,2095	0
399,71869	-3
400,22791	-4
400,73715	-9
401,24643	0
401,75574	4
402,26505	3
402,77441	0
403,28378	14
403,79318	-7
404,30258	-1
404,81204	4
405,3215	2
405,83099	-5
406,34052	4
406,85004	3
407,35962	-2
407,8692	5
408,37881	-1
408,88846	3
409,3981	-3
409,90781	2
410,41751	11
410,92725	4
411,43701	4
411,94678	-6
412,4566	-2
412,96643	-5
413,47629	0
413,98618	8
414,49606	0
415,00601	4
415,51596	-1
416,02594	-5
416,53595	2
417,04596	1
417,55603	-2
418,0661	-1
418,5762	-2
419,08633	6
419,59647	-2
420,10663	-4
420,61685	1
421,12708	-2
421,6373	-2
422,14758	-4
422,65787	7
423,16818	3
423,67853	0
424,1889	8
424,69931	-1
425,20972	7
425,72015	1
426,23062	7
426,74112	2
427,25162	3
427,76218	6
428,27274	6
428,78333	-6
429,29395	-7
429,80457	7
430,31522	-5
430,82593	2
431,33661	7
431,84735	-1
432,35812	3
432,8689	-4
433,3797	-5
433,89053	-4
434,4014	3
434,91226	-1
435,42319	-3
435,93411	13
436,44507	15
436,95602	1
437,46704	10
437,97806	9
438,48911	18
439,00018	11
439,51129	20
440,0224	1
440,53357	5
441,04474	21
441,55594	25
442,06714	12
442,5784	33
443,08966	6
443,60095	17
444,11227	6
444,62363	-27
445,13498	17
445,64636	-3
446,15778	2
446,66922	-13
447,18069	41
447,69217	-4
448,2037	28
448,71524	51
449,22681	35
449,73837	55
450,25	40
450,76163	3
451,27328	2
451,78497	47
452,29666	36
452,80841	46
453,32016	62
453,83194	7
454,34375	42
454,85559	14
455,36743	50
455,8793	18
456,3912	38
456,90314	35
457,4151	29
457,92706	38
458,43906	63
458,95108	65
459,46313	54
459,97522	86
460,4873	85
460,99942	71
461,51157	99
462,02374	93
462,53595	120
463,04816	157
463,56039	137
464,07266	193
464,58496	216
465,09729	245
465,60962	274
466,12198	318
466,63437	374
467,14679	462
467,65924	491
468,17169	576
468,68417	665
469,19669	749
469,70923	839
470,2218	917
470,73438	1025
471,24698	1095
471,75961	1192
472,27228	1244
472,78494	1319
473,29767	1395
473,81039	1413
474,32315	1441
474,83594	1486
475,34872	1470
475,86157	1458
476,37442	1411
