Date and Time:                Fri May 23 20:32:52.420 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
475,86157	48811
476,37442	52375
476,8873	55560
477,40018	58263
477,91312	60671
478,42606	62315
478,93903	63276
479,45203	63643
479,96506	63028
480,47812	61814
480,99118	59817
481,50427	57179
482,0174	54047
482,53055	50360
483,0437	46448
483,55692	42501
484,07013	38390
484,58337	34590
485,09662	30633
485,60992	26902
486,12323	23440
486,63657	20299
487,14993	17434
487,66333	14882
488,17673	12486
488,69019	10522
489,20364	8690
489,71713	7133
490,23062	5808
490,74417	4777
491,25772	3841
491,7713	3191
492,28491	2641
492,79855	2215
493,31219	1854
493,82587	1597
494,3396	1375
494,8533	1205
495,36707	1058
495,88086	960
496,39465	889
496,90848	783
497,42233	737
497,93619	679
498,4501	618
498,96402	580
499,47797	586
499,99194	535
500,50595	499
501,01996	430
501,534	488
502,04807	444
502,56216	445
503,07629	464
503,59042	419
504,10461	438
504,6188	417
505,133	437
505,64725	414
506,1615	411
506,67581	431
507,19012	440
507,70447	403
508,21881	421
508,73322	420
509,24762	454
509,76205	422
510,27652	410
510,79099	415
511,30551	446
511,82004	462
512,33459	308
512,84918	464
513,36377	430
513,87842	409
514,39307	432
514,90771	429
515,42242	433
515,93719	441
516,4519	455
516,96667	469
517,48151	432
517,99634	455
518,51117	465
519,02606	463
519,54095	433
520,05585	458
520,5708	459
521,08582	456
521,60077	450
522,11578	483
522,63086	478
523,14594	471
523,66101	500
524,17615	472
524,69128	493
525,20642	463
525,72162	503
526,23682	499
526,75208	501
527,26733	517
527,78265	522
528,29791	491
528,81329	509
529,32861	511
529,84399	479
530,35944	511
530,87488	475
531,39032	481
531,90582	501
532,42133	516
532,93683	498
533,45239	440
533,96796	460
534,48358	505
534,99921	471
535,51489	474
536,03052	470
536,54626	472
537,06195	469
537,5777	482
538,09351	461
538,60931	476
539,12512	468
539,64099	440
540,15686	483
540,67273	526
541,18866	463
541,70459	502
542,22058	479
542,73657	486
543,25256	467
543,76862	494
544,28467	456
544,80078	520
545,31689	518
545,83301	474
546,34918	439
546,86536	514
547,38159	489
547,89783	466
548,41412	475
548,93036	439
549,44672	490
549,96301	489
550,47937	470
550,99579	460
551,51221	474
552,02863	452
