Date and Time:                Fri May 23 20:38:16.507 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0,1
Accumulate Cycle Time (secs): 0,1
Frequency (Hz):               10
Number of Accumulations:      100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
475,86157	62638
476,37442	67723
476,8873	72667
477,40018	76888
477,91312	80741
478,42606	83572
478,93903	85424
479,45203	86378
479,96506	86315
480,47812	85179
480,99118	83397
481,50427	80261
482,0174	76734
482,53055	72327
483,0437	67399
483,55692	62277
484,07013	57136
484,58337	51779
485,09662	46528
485,60992	41374
486,12323	36359
486,63657	31832
487,14993	27484
487,66333	23604
488,17673	20097
488,69019	16900
489,20364	14074
489,71713	11588
490,23062	9582
490,74417	7857
491,25772	6449
491,7713	5290
492,28491	4301
492,79855	3616
493,31219	2982
493,82587	2512
494,3396	2149
494,8533	1867
495,36707	1609
495,88086	1420
496,39465	1262
496,90848	1136
497,42233	1022
497,93619	905
498,4501	857
498,96402	762
499,47797	731
499,99194	704
500,50595	624
501,01996	592
501,534	622
502,04807	584
502,56216	570
503,07629	536
503,59042	541
504,10461	525
504,6188	494
505,133	540
505,64725	471
506,1615	479
506,67581	498
507,19012	492
507,70447	503
508,21881	527
508,73322	504
509,24762	469
509,76205	481
510,27652	522
510,79099	497
511,30551	476
511,82004	512
512,33459	485
512,84918	499
513,36377	549
513,87842	552
514,39307	535
514,90771	541
515,42242	517
515,93719	542
516,4519	529
516,96667	496
517,48151	518
517,99634	500
518,51117	527
519,02606	564
519,54095	527
520,05585	532
520,5708	529
521,08582	564
521,60077	574
522,11578	560
522,63086	565
523,14594	619
523,66101	534
524,17615	579
524,69128	598
525,20642	567
525,72162	566
526,23682	585
526,75208	601
527,26733	551
527,78265	607
528,29791	562
528,81329	602
529,32861	622
529,84399	594
530,35944	609
530,87488	580
531,39032	570
531,90582	582
532,42133	571
532,93683	581
533,45239	626
533,96796	566
534,48358	541
534,99921	562
535,51489	562
536,03052	600
536,54626	604
537,06195	575
537,5777	564
538,09351	574
538,60931	569
539,12512	583
539,64099	575
540,15686	538
540,67273	536
541,18866	544
541,70459	547
542,22058	560
542,73657	547
543,25256	602
543,76862	541
544,28467	556
544,80078	546
545,31689	555
545,83301	577
546,34918	513
546,86536	596
547,38159	522
547,89783	569
548,41412	539
548,93036	559
549,44672	521
549,96301	570
550,47937	544
550,99579	545
551,51221	574
552,02863	568
552,54504	560
553,06152	539
553,57806	545
554,0946	545
554,61115	529
555,12775	582
555,64435	526
556,16095	519
556,67761	566
557,19427	567
557,711	559
558,22772	565
558,74445	545
559,26123	560
559,77802	534
560,29486	574
560,81171	532
561,32855	551
561,84546	540
562,36237	543
562,87933	552
563,3963	556
563,91327	529
564,4303	607
564,94733	533
565,46442	588
565,98151	540
566,4986	569
567,01575	528
567,5329	562
568,05011	551
568,56732	543
569,08453	537
569,60181	525
570,11908	530
570,63641	504
571,15375	516
571,67108	542
572,18848	520
572,70587	577
573,22333	569
573,74078	557
574,25824	494
574,77576	534
575,29327	558
575,81079	525
576,32837	533
576,84601	507
577,36365	552
577,88129	528
578,39893	528
578,91663	554
579,43439	514
579,95209	531
580,46991	524
580,98767	513
581,50549	558
582,02332	551
582,5412	536
583,05908	528
583,57703	544
584,09497	526
584,61292	526
585,13092	527
585,64893	544
586,16699	526
586,68506	545
587,20313	522
587,72125	552
588,23938	544
588,75757	489
589,27576	528
589,79395	548
590,31219	520
590,83044	521
591,34869	539
591,867	468
592,38538	541
592,90369	509
593,42206	507
593,94049	512
594,45892	471
594,97736	513
595,49585	488
596,01434	510
596,5329	540
597,05145	505
597,57001	527
598,08862	550
598,60724	553
599,12585	547
599,64453	535
600,16327	537
600,68195	504
601,20074	541
601,71948	537
602,23828	580
602,75708	567
603,27594	558
603,7948	548
604,31372	574
604,83264	511
605,35156	543
605,87054	590
606,38953	531
606,90851	577
607,42755	578
607,94666	569
608,4657	555
608,9848	580
609,50397	586
610,02313	559
610,5423	595
611,06152	606
611,58075	589
612,09998	559
612,61926	575
613,13861	577
613,6579	595
614,17725	562
614,69666	564
615,21606	599
615,73547	575
616,25494	622
616,77441	618
617,29388	606
617,81342	606
618,33301	612
618,85254	604
619,37213	627
619,89178	605
620,41144	633
620,93109	586
621,45081	615
621,97052	631
622,49023	593
623,01001	648
623,52985	629
624,04962	611
624,56946	625
625,08936	615
625,60925	604
626,12915	626
626,64911	671
627,16907	638
627,68903	665
628,20905	658
628,72906	675
629,24915	644
629,76923	658
630,28937	657
630,80945	614
631,32965	679
631,84979	647
632,37	656
632,89026	669
633,41052	629
633,93079	674
634,45111	622
634,97144	687
635,49176	695
636,01215	697
636,53253	715
637,05298	742
637,57343	734
638,09387	735
638,61438	785
639,13495	712
639,65546	732
640,17603	793
640,69666	797
641,21729	781
641,73792	829
642,25861	839
642,7793	830
643,29999	861
643,82074	829
644,34149	880
644,8623	885
645,38312	948
645,90393	929
646,4248	954
646,94568	977
647,46661	971
647,98755	1015
648,50848	1051
649,02948	1112
649,55048	1137
650,07153	1181
650,59259	1193
651,11371	1219
651,63477	1270
652,15594	1320
652,67706	1413
653,19824	1435
653,71948	1470
654,24072	1528
654,76196	1639
655,2832	1672
655,8045	1771
656,32587	1886
656,84723	2019
657,36859	2118
657,89001	2243
658,41144	2390
658,93286	2558
659,45435	2681
659,97583	2872
660,49738	3099
661,01892	3323
661,54047	3560
662,06207	3887
662,58368	4192
663,10535	4562
663,62701	4928
664,14868	5330
664,67041	5742
665,19214	6255
665,71393	6788
666,23572	7350
666,75751	7967
667,27936	8634
667,80121	9308
668,32312	10103
668,84503	10890
669,36694	11705
669,88892	12726
670,41089	13696
670,93292	14768
671,45496	15931
671,97699	17171
672,49908	18512
673,02118	19960
673,54333	21500
674,06549	23105
674,58765	24968
675,10986	27120
675,63208	29336
676,15436	31581
676,67664	34330
677,19891	37154
677,72125	40367
678,24359	43765
678,76593	47332
679,28833	50742
679,81079	54535
680,33325	58829
680,85571	63157
681,37817	67631
681,9007	72052
682,42328	76691
682,9458	81121
683,46844	85755
683,99103	90154
684,51367	94602
685,03632	99679
685,55902	104585
686,08173	109599
686,60449	114926
687,12726	120314
687,65002	125799
688,17285	131431
688,69568	137247
689,21857	143254
689,74146	149917
690,26434	156806
690,78729	164367
691,31024	172649
691,83325	181578
692,35626	191846
692,87927	203716
693,40234	217508
693,92542	231601
694,44849	246860
694,97162	264887
695,49481	286002
696,01794	309404
696,54114	335396
697,06439	363344
697,58765	394034
698,1109	427870
698,63422	466057
699,15753	509394
699,68091	554705
700,20428	600582
700,72766	649771
701,2511	703249
701,77454	759944
702,29797	815882
702,82147	873384
703,34503	931814
703,86853	991777
704,39215	1.05237e+06
704,91571	1.11018e+06
705,43933	1.1667e+06
705,96295	1.22446e+06
706,48663	1.2808e+06
707,01031	1.3372e+06
707,53406	1.38767e+06
708,0578	1.42668e+06
708,58154	1.45876e+06
709,10535	1.48561e+06
709,62915	1.51243e+06
710,15295	1.53742e+06
710,67682	1.55472e+06
711,20074	1.56458e+06
711,72461	1.57377e+06
712,24854	1.57065e+06
712,77252	1.55888e+06
713,29651	1.54404e+06
713,8205	1.52824e+06
714,34454	1.51073e+06
714,86859	1.48983e+06
715,39264	1.45827e+06
715,91675	1.41882e+06
716,44092	1.38126e+06
716,96503	1.33734e+06
717,4892	1.29302e+06
718,01343	1.24619e+06
718,53766	1.19667e+06
719,06189	1.14523e+06
719,58618	1.09607e+06
720,11047	1.04615e+06
720,63477	991461
721,15912	933719
721,68353	878876
722,20789	827086
722,7323	772595
723,25677	716594
723,78125	661404
724,30573	607989
724,83026	557595
725,3548	509380
725,87933	463001
726,40393	419489
726,92859	379429
727,45319	343060
727,97784	310851
728,50256	280260
729,02728	251293
729,552	224895
730,07678	201130
730,60156	179374
731,12634	160409
731,65118	143125
732,17603	127135
732,70093	112496
733,22583	99476
733,75079	88195
734,2757	77746
734,80072	68652
735,32568	60799
735,85071	54299
736,37579	48627
736,90088	43503
737,42596	39228
737,95111	35277
738,47626	31958
739,0014	29165
739,52661	26647
740,05182	24285
740,57709	22425
741,10236	20719
741,62769	19262
742,15295	17814
742,67834	16638
743,20367	15580
743,72906	14551
744,25452	13713
744,77997	12911
745,30542	12089
745,83093	11372
746,35645	10679
746,88196	10019
747,40753	9381
747,93311	8791
748,45874	8244
748,98438	7762
749,51001	7283
750,03571	6739
750,5614	6285
751,08716	5823
751,61292	5351
752,13867	4976
752,66449	4560
753,19037	4243
753,71619	3868
754,24207	3546
754,76801	3291
755,29388	3031
755,81989	2801
756,34583	2602
756,87183	2416
757,39789	2278
757,92395	2056
758,45001	1918
758,97607	1818
759,5022	1702
760,02838	1627
760,55457	1516
761,08075	1440
761,60699	1352
762,13324	1320
762,65948	1274
763,18579	1201
763,7121	1154
764,23846	1106
764,76483	1073
765,2912	1068
765,81763	1017
766,34406	1018
766,87054	985
767,39703	978
767,92352	940
768,45007	909
768,97662	926
769,50323	897
770,02985	887
770,55646	837
771,08313	843
771,6098	820
772,13654	818
772,66327	805
773,19	791
773,7168	789
774,24359	774
774,77045	757
775,2973	771
775,82416	730
776,35107	716
776,87799	713
777,40497	732
777,93195	718
778,45892	700
778,98596	696
779,513	666
780,0401	654
780,5672	697
781,0943	671
781,62146	673
782,14862	657
782,67578	666
783,203	662
783,73029	628
784,25757	655
784,78485	647
785,31213	637
785,83948	625
786,36688	619
786,89423	652
787,42169	635
787,9491	617
788,47656	625
789,00409	625
789,53156	625
790,05908	614
790,58667	580
791,11426	625
791,64185	587
792,16949	624
792,69714	607
793,22485	610
793,75256	605
794,28027	609
794,80804	580
795,33582	596
795,86365	636
796,39148	637
796,91931	601
797,4472	596
797,9751	570
798,50299	613
799,03094	606
799,55896	617
800,08691	635
800,61499	611
801,14301	578
801,67108	619
802,19916	571
802,72729	635
803,25543	628
803,78363	604
804,31183	612
804,84003	586
805,36829	608
805,89655	612
806,4248	576
806,95313	589
807,48151	619
808,00983	589
808,53827	602
809,06665	564
809,59509	568
810,12354	564
810,65204	607
811,18054	577
811,70911	560
812,23767	594
812,76624	625
813,29486	564
813,82349	600
814,35211	571
814,8808	546
815,40955	578
815,93823	534
816,46698	569
816,99579	548
817,5246	572
818,05341	556
818,58228	581
819,11115	584
819,64001	553
820,16895	544
820,69794	540
821,22687	555
821,75586	572
822,28491	531
822,81396	531
823,34302	527
823,87213	534
824,40125	526
824,93036	496
825,45953	522
825,98877	509
826,51794	525
827,04718	504
827,57648	515
828,10577	518
828,63507	485
829,16443	506
829,69379	502
830,22314	502
830,75256	509
831,28204	475
831,81146	525
832,34094	524
832,87048	490
833,40002	485
833,92957	497
834,45917	525
834,98877	491
835,51837	446
836,04803	487
836,5777	473
837,10742	476
837,63715	482
838,16693	475
838,69666	482
839,2265	474
839,75629	471
840,28613	456
840,81604	469
841,34595	462
841,87585	483
842,40582	457
842,93579	471
843,46576	472
843,99579	455
844,52582	463
845,05591	468
845,586	460
846,11615	473
846,64624	453
847,17645	447
847,7066	464
848,23682	418
848,76709	448
849,29736	468
849,82764	458
850,35797	438
850,88831	455
851,41864	437
851,94904	450
852,47943	470
853,00989	445
853,54034	439
854,0708	443
854,60132	463
855,13184	428
855,66241	446
856,19299	441
856,72357	431
857,25421	444
857,78491	430
858,31555	436
858,84625	423
859,37701	425
859,90771	414
860,43854	444
860,9693	436
861,50012	416
862,03101	428
862,56189	425
863,09277	425
863,62366	428
864,15466	428
864,68561	411
865,21661	412
865,74762	403
866,27869	419
866,80975	424
867,34082	422
867,87195	422
868,40308	412
868,93427	422
869,46545	415
869,99664	402
870,52789	419
871,05914	425
871,59045	401
872,12177	403
872,65308	404
873,18445	409
873,71582	395
874,24725	388
874,77869	401
875,31012	403
875,84161	400
876,37311	411
