Date and Time:                Fri May 23 18:08:46.560 2025
Software Version:             4.32.30137.0
Temperature (C):              -60
Model:                        DU970P_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         1
Accumulate Cycle Time (secs): 1
Frequency (Hz):               1
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Permanently OPEN
TTL level:                    High
Time to open:                 27 ms
Time to close:                27 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9,68
Pixel Readout Rate (MHz):     0,05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 0
Serial Number:                CCD-28289
Pre-Amplifier Gain:           1x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY193i:
Serial Number:                KY-3589
Wavelength (nm):              711,54
Grating Groove Density (l/mm):150
Grating Blaze:                500nm
Output Flipper Port:          Direct



284,75507	-3
285,25876	2
285,76248	-3
286,26624	-2
286,77002	2
287,2738	-1
287,77762	0
288,28146	3
288,78531	12
289,28922	2
289,79312	1
290,29706	9
290,80103	1
291,30502	1
291,80902	-2
292,31308	6
292,81714	6
293,32123	2
293,82532	5
294,32947	-3
294,83362	-2
295,3378	5
295,84201	4
296,34625	3
296,85049	2
297,35477	4
297,85907	3
298,3634	4
298,86777	-6
299,37213	4
299,87656	1
300,38098	3
300,88541	6
301,38989	6
301,89441	4
302,39893	4
302,90347	4
303,40805	2
303,91263	-3
304,41727	-1
304,92191	-5
305,42657	0
305,93127	3
306,43597	0
306,94073	8
307,4455	-6
307,95029	-5
308,45511	5
308,95993	0
309,46481	4
309,9697	3
310,47461	2
310,97955	1
311,4845	3
311,9895	-6
312,49451	1
312,99954	1
313,50461	2
314,00967	2
314,5148	-2
315,01993	3
315,52509	5
316,03027	3
316,53546	5
317,04071	0
317,54596	5
318,05124	2
318,55655	4
319,06186	3
319,56723	7
320,0726	2
320,578	-2
321,08344	-3
321,58887	7
322,09433	4
322,59985	1
323,10538	-1
323,6109	2
324,11649	1
324,62207	-4
325,12769	-5
325,63333	1
326,13901	3
326,64471	-3
327,15042	5
327,65616	4
328,16193	7
328,66772	-6
329,17352	-3
329,67938	-2
330,18524	3
330,69113	1
331,19702	5
331,70297	-2
332,20892	5
332,7149	4
333,22092	0
333,72696	4
334,233	3
334,73911	7
335,24521	-7
335,75134	11
336,25748	7
336,76367	1
337,26987	-1
337,77609	9
338,28235	4
338,78864	3
339,29492	1
339,80127	10
340,30762	-6
340,814	0
341,32037	6
341,82681	3
342,33325	5
342,83972	4
343,34622	-4
343,85275	3
344,35928	-1
344,86584	0
345,37247	1
345,87906	7
346,38571	-3
346,89236	0
347,39908	5
347,90579	-2
348,41254	19
348,91928	7
349,42609	2
349,93289	2
350,43973	-2
350,94659	-2
351,45349	-2
351,96039	1
352,46732	4
352,97427	0
353,48126	2
353,98828	0
354,4953	1
355,00235	1
355,50943	7
356,01654	-1
356,52368	1
357,03082	8
357,53799	6
358,0452	-5
358,55243	-5
359,05969	-5
359,56696	1
360,07428	4
360,5816	2
361,08893	-1
361,59631	-1
362,1037	3
362,61115	3
363,11859	1
363,62604	7
364,13354	-4
364,64105	6
365,14859	1
365,65616	-2
366,16376	5
366,67139	-4
367,17902	1
367,68668	5
368,19437	2
368,70209	3
369,20984	-5
369,71759	-2
370,22537	4
370,73318	10
371,24103	7
371,7489	6
372,25677	-1
372,76468	7
373,27261	3
373,78058	3
374,28854	6
374,79657	3
375,3046	4
375,81265	2
376,32071	8
376,82883	8
377,33694	6
377,84509	2
378,35327	-5
378,86148	-10
379,36972	1
379,87796	6
380,38623	-5
380,89453	9
381,40286	5
381,91119	1
382,41959	-3
382,92798	4
383,4364	2
383,94482	14
384,45331	2
384,96179	-1
385,47031	9
385,97885	-1
386,48743	10
386,996	-2
387,50464	-6
388,01328	6
388,52194	3
389,03061	6
389,53934	4
390,04807	-1
390,55682	4
391,06561	8
391,57443	3
392,08325	0
392,59213	0
393,10101	3
393,60989	1
394,11884	5
394,62781	2
395,13678	10
395,64578	7
396,15482	0
396,66385	1
397,17294	4
397,68204	9
398,19116	7
398,70032	1
399,2095	-2
399,71869	8
400,22791	4
400,73715	-1
401,24643	7
401,75574	8
402,26505	7
402,77441	8
403,28378	6
403,79318	8
404,30258	-4
404,81204	4
405,3215	1
405,83099	-4
406,34052	8
406,85004	5
407,35962	8
407,8692	7
408,37881	-1
408,88846	3
409,3981	2
409,90781	6
410,41751	5
410,92725	-2
411,43701	3
411,94678	7
412,4566	0
412,96643	-1
413,47629	5
413,98618	9
414,49606	4
415,00601	2
415,51596	8
416,02594	3
416,53595	-4
417,04596	-1
417,55603	-2
418,0661	-1
418,5762	2
419,08633	8
419,59647	9
420,10663	0
420,61685	4
421,12708	3
421,6373	7
422,14758	-5
422,65787	4
423,16818	5
423,67853	5
424,1889	0
424,69931	3
425,20972	1
425,72015	0
426,23062	0
426,74112	13
427,25162	3
427,76218	8
428,27274	0
428,78333	3
429,29395	12
429,80457	4
430,31522	12
430,82593	6
431,33661	14
431,84735	5
432,35812	6
432,8689	19
433,3797	3
433,89053	19
434,4014	20
434,91226	0
435,42319	7
435,93411	-4
436,44507	18
436,95602	16
437,46704	-3
437,97806	10
438,48911	-1
439,00018	4
439,51129	5
440,0224	-10
440,53357	16
441,04474	2
441,55594	3
442,06714	-12
442,5784	-10
443,08966	-1
443,60095	3
444,11227	-11
444,62363	9
445,13498	18
445,64636	17
446,15778	-7
446,66922	-10
447,18069	-4
447,69217	-1
448,2037	-13
448,71524	-17
449,22681	1
449,73837	-46
450,25	2
450,76163	-27
451,27328	23
451,78497	-8
452,29666	2
452,80841	-5
453,32016	27
453,83194	-22
454,34375	-9
454,85559	2
455,36743	3
455,8793	-4
456,3912	19
456,90314	12
457,4151	-6
457,92706	18
458,43906	20
458,95108	4
459,46313	-9
459,97522	-9
460,4873	29
460,99942	28
461,51157	6
462,02374	45
462,53595	38
463,04816	35
463,56039	38
464,07266	41
464,58496	64
465,09729	88
465,60962	78
466,12198	92
466,63437	130
467,14679	128
467,65924	162
468,17169	167
468,68417	224
469,19669	221
469,70923	274
470,2218	308
470,73438	346
471,24698	383
471,75961	467
472,27228	455
472,78494	473
473,29767	492
473,81039	551
474,32315	578
474,83594	591
475,34872	587
475,86157	591
476,37442	608
476,8873	634
477,40018	606
477,91312	579
478,42606	574
478,93903	530
479,45203	491
479,96506	460
480,47812	428
